iter	Passed	Remaining
401	13623	3321
402	13662	3288
403	13692	3253
404	13725	3219
405	13752	3184
406	13790	3151
407	13848	3122
408	13879	3088
409	13920	3055
410	13953	3021
411	14008	2992
412	14068	2963
413	14125	2934
414	14177	2903
415	14217	2870
416	14249	2836
417	14295	2804
418	14333	2770
419	14371	2737
420	14408	2703
421	14454	2671
422	14491	2637
423	14545	2607
424	14579	2572
425	14616	2538
426	14649	2504
427	14677	2469
428	14712	2434
429	14730	2397
430	14750	2361
431	14771	2325
432	14794	2289
433	14828	2255
434	14867	2221
435	14904	2187
436	14930	2152
437	14953	2116
438	14971	2080
439	14994	2044
440	15016	2009
441	15037	1973
442	15056	1937
443	15077	1901
444	15115	1868
445	15136	1832
446	15155	1796
447	15178	1761
448	15222	1729
449	15287	1698
450	15340	1666
451	15374	1632
452	15408	1598
453	15449	1565
454	15497	1532
455	15532	1498
456	15572	1465
457	15607	1431
458	15639	1396
459	15698	1365
460	15739	1331
461	15787	1298
462	15826	1264
463	15868	1231
464	15901	1196
465	15919	1161
466	15949	1127
467	15991	1093
468	16025	1059
469	16066	1025
470	16101	991
471	16137	957
472	16175	923
473	16209	889
474	16256	855
475	16289	821
476	16318	786
477	16347	752
478	16393	718
479	16439	684
480	16472	650
481	16510	616
482	16550	582
483	16593	548
484	16633	514
485	16684	480
486	16732	446
487	16778	412
488	16810	378
489	16857	344
490	16898	309
491	16926	275
492	16946	240
493	16978	206
494	17013	171
495	17057	137
496	17135	103
497	17179	68
498	17202	34
499	17251	0
