iter	MultiClass
324	0.2435623835
325	0.243406192
326	0.2430507635
327	0.2428867353
328	0.2428230155
329	0.2426671853
330	0.2425358033
331	0.2422637259
332	0.2421589972
333	0.2420031451
334	0.2418235746
335	0.2417226216
336	0.241326661
337	0.2411235255
338	0.2409114427
339	0.2407407063
340	0.2406227675
341	0.240545564
342	0.2404495512
343	0.2402041186
344	0.240118967
345	0.2398881979
346	0.2396932622
347	0.2394687624
348	0.2391688457
349	0.238974105
350	0.2388313921
351	0.2386152356
352	0.2382990609
353	0.2381554483
354	0.2379646868
355	0.2377681612
356	0.2376656395
357	0.2375225619
358	0.2374742572
359	0.2374041313
360	0.2372541432
361	0.2370585269
362	0.2368915067
363	0.236585701
364	0.2364728514
365	0.2362397911
366	0.2360127847
367	0.2358176569
368	0.235725992
369	0.2354902945
370	0.2353474962
371	0.2352410675
372	0.2348925897
373	0.2347607705
374	0.2346136382
375	0.2345195369
376	0.2343776499
377	0.2342316285
378	0.2339259054
379	0.2337599393
380	0.2336242037
381	0.233541497
382	0.2333343841
383	0.233190843
384	0.2329148129
385	0.2326523937
386	0.2324159608
387	0.2321884069
388	0.231967606
389	0.2316962772
390	0.2315045033
391	0.2313423485
392	0.2312500515
393	0.2311393504
394	0.2309528865
395	0.2307832893
396	0.2306783004
397	0.230437841
398	0.2303077589
399	0.2302606042
400	0.2301213004
401	0.2300025933
402	0.229919073
403	0.2296387838
404	0.2294694201
405	0.2294022063
406	0.2291764873
407	0.228936662
408	0.2288518228
409	0.2285607291
410	0.2284829474
411	0.2283020156
412	0.2281609095
413	0.2281001481
414	0.2279724835
415	0.2278705844
416	0.2276855463
417	0.2274735896
418	0.2272982806
419	0.2270864412
420	0.2269184756
421	0.2268321607
422	0.2265493034
423	0.2262521908
424	0.2260713051
425	0.2257181339
426	0.2255557332
427	0.2254423815
428	0.2254053378
429	0.2252567956
430	0.2251146411
431	0.2249996187
432	0.2249202725
433	0.2247908061
434	0.2246866137
435	0.2244944393
436	0.2244325973
437	0.2242374465
438	0.2241680638
439	0.2240411546
440	0.2238897659
441	0.2237507437
442	0.2235770452
443	0.2235179748
444	0.2232684956
445	0.2231339883
446	0.2229812725
447	0.2229271807
448	0.2228059479
449	0.2226936951
450	0.2226434456
451	0.2224205503
452	0.2223045638
453	0.2221664393
454	0.221917913
455	0.2218169744
456	0.2217666309
457	0.2216299956
458	0.2215395602
459	0.2213551668
460	0.2212475351
461	0.2211974285
462	0.221021623
463	0.220901128
464	0.2205856639
465	0.2205127505
466	0.2204071127
467	0.2202974239
468	0.2199797174
469	0.2199149628
470	0.2198522292
471	0.2197731099
472	0.2196911964
473	0.2194423562
474	0.219264089
475	0.2191083442
476	0.2189485059
477	0.2188680905
478	0.2186547157
479	0.2185018802
480	0.2184379996
481	0.2183852329
482	0.2182855005
483	0.2181625598
484	0.2180546229
485	0.2179581273
486	0.2177117005
487	0.2176223098
488	0.2174144371
489	0.2171193975
490	0.21701774
491	0.2167647044
492	0.21671328
493	0.2164710689
494	0.2162656329
495	0.2159686068
496	0.2159179709
497	0.2158262546
498	0.2157419011
499	0.2155101958
