iter	MultiClass
0	1.006052574
1	0.9218872622
2	0.8513955397
3	0.7913196547
4	0.7414940819
5	0.6992685552
6	0.6675622692
7	0.6343432989
8	0.6090840228
9	0.5854013633
10	0.5629957647
11	0.5430707469
12	0.5278964762
13	0.5146786989
14	0.5017099337
15	0.4883967638
16	0.4775396889
17	0.4662587749
18	0.457222442
19	0.4481197652
20	0.439594094
21	0.4316414305
22	0.4254682607
23	0.4185478644
24	0.4141950818
25	0.4079438409
26	0.402510905
27	0.3982991429
28	0.3934678346
29	0.3891031711
30	0.3858676989
31	0.3820400642
32	0.379037533
33	0.3757525969
34	0.3740019858
35	0.3718912112
36	0.3705358991
37	0.3673762157
38	0.365431285
39	0.3636652957
40	0.3615494469
41	0.3591814291
42	0.3575928791
43	0.3557835944
44	0.3544903969
45	0.3523822137
46	0.3512008819
47	0.3502040315
48	0.3487829188
49	0.3475454062
50	0.3465619751
51	0.3457711212
52	0.3451322397
53	0.3440452819
54	0.3431197749
55	0.3422825919
56	0.3409592022
57	0.3394666682
58	0.3377649384
59	0.3367431182
60	0.3358932761
61	0.3349309839
62	0.3338682966
63	0.3331501337
64	0.3325182692
65	0.3311030296
66	0.3294371895
67	0.3283827705
68	0.3276231745
69	0.3267499671
70	0.3255679263
71	0.3240545849
72	0.3232731527
73	0.3224283844
74	0.3218281139
75	0.3215985217
76	0.3211857565
77	0.3203022656
78	0.3196153482
79	0.3191724934
80	0.3183271337
81	0.3176740303
82	0.317240624
83	0.3163242542
84	0.3155027372
85	0.314948453
86	0.314294319
87	0.3137443353
88	0.3126959061
89	0.3121448015
90	0.3112977135
91	0.3108957965
92	0.3105395416
93	0.3095640335
94	0.3088973453
95	0.3084304514
96	0.3076905596
97	0.3071830011
98	0.30683881
99	0.3059544283
100	0.3055906054
101	0.3048577902
102	0.3040605127
103	0.3033744126
104	0.3029053566
105	0.3024174275
106	0.3010906875
107	0.3006531429
108	0.300266494
109	0.2996882567
110	0.2991018265
111	0.2986305752
112	0.2979793296
113	0.2976141766
114	0.2970931104
115	0.2966397801
116	0.2962945087
117	0.2958610762
118	0.2954788912
119	0.2950274338
120	0.2946917705
121	0.2943087882
122	0.2939787453
123	0.2934583864
124	0.2930280255
125	0.2927056216
126	0.292416385
127	0.2919580359
128	0.2916441135
129	0.2910159283
130	0.2908065073
131	0.290450541
132	0.2902282944
133	0.2899483139
134	0.2895501498
135	0.2893012388
136	0.2890550642
137	0.2888527013
138	0.2886576836
139	0.2882603091
140	0.2876450231
141	0.2870478053
142	0.2866027769
143	0.2864139454
144	0.2861411723
145	0.285599349
146	0.2854195789
147	0.2850768145
148	0.2846901073
149	0.2844388138
150	0.2842342107
151	0.2839221257
152	0.2836880846
153	0.2833624612
154	0.2829987643
155	0.2822494959
156	0.2818587005
157	0.2815594206
158	0.2811920185
159	0.2807946138
160	0.2805947029
161	0.2801973222
162	0.2799669747
163	0.2796854101
164	0.2792884484
165	0.2789722261
166	0.2787667793
167	0.2783458702
168	0.2779664672
169	0.2778070808
170	0.277462832
171	0.2770990034
172	0.2768821942
173	0.2766082013
174	0.276328376
175	0.2762071294
176	0.2758743464
177	0.2756582157
178	0.2752028486
179	0.2746331346
180	0.2741477369
181	0.2740329833
182	0.2737678915
183	0.273384017
184	0.2731066264
185	0.2729657968
186	0.2727367013
187	0.272575138
188	0.2723927069
189	0.2722031508
190	0.2715690132
191	0.2712054568
192	0.2709983114
193	0.2708077714
194	0.2705591863
195	0.2702915969
196	0.2700388291
197	0.26978791
198	0.2694575912
199	0.2690732445
200	0.2689161426
201	0.2685674689
202	0.2682294817
203	0.2681039658
204	0.2678933616
205	0.267714351
206	0.2672473664
207	0.2670614358
208	0.2665191667
209	0.266345001
210	0.2660787979
211	0.2660305205
212	0.2658837105
213	0.2655814399
214	0.2654079016
215	0.2653358197
216	0.2650547787
217	0.2649427469
218	0.2648476341
219	0.2646779208
220	0.2645065097
221	0.264362704
222	0.2640787762
223	0.2637818474
224	0.2636539988
225	0.2635323359
226	0.2634440254
227	0.2633478819
228	0.2629323874
229	0.2626157015
230	0.2623639399
231	0.2621249987
232	0.2616411015
233	0.2615028488
234	0.261205352
235	0.2611651238
236	0.2610191419
237	0.2608645808
238	0.2607439032
239	0.2605451903
240	0.2603825623
241	0.2603271741
242	0.2600310421
243	0.2598431557
244	0.2596674847
245	0.2592334014
246	0.2590036275
247	0.2588680176
248	0.2585828954
249	0.2584193873
250	0.2582971376
251	0.2579487061
252	0.2578005702
253	0.257372899
254	0.257121229
255	0.2569249556
256	0.2568015241
257	0.2567092526
258	0.2565688658
259	0.2564327706
260	0.2561035131
261	0.2559273989
262	0.2558240729
263	0.2557026577
264	0.2556426858
265	0.2554748305
266	0.2553650146
267	0.2551544109
268	0.255014091
269	0.2547262693
270	0.25446637
271	0.2542906013
272	0.2538736739
273	0.2533949024
274	0.2532200658
275	0.253035934
276	0.2529202696
277	0.2526556841
278	0.2524341002
279	0.2522861853
280	0.2521849464
281	0.2518527712
282	0.2515245764
283	0.2513749858
284	0.251038994
285	0.2508622307
286	0.2505463443
287	0.2503994495
288	0.2502773536
289	0.2501719913
290	0.2498767601
291	0.2496117163
292	0.2494747254
293	0.2492709525
294	0.2491342369
295	0.2488862493
296	0.2487480175
297	0.2486295322
298	0.2483153907
299	0.248078987
300	0.2479345004
301	0.2476677928
302	0.247515269
303	0.2473448551
304	0.2472210931
305	0.2470171294
306	0.2468218429
307	0.2466171971
308	0.2464416439
309	0.2462677113
310	0.2461020525
311	0.2457207007
312	0.2455314373
313	0.2453746493
314	0.2452537957
315	0.2450189411
316	0.2446134278
317	0.2445380976
318	0.2444315166
319	0.2443877075
320	0.244161661
321	0.2439424225
322	0.2437419858
323	0.2436337797
